website,total_detected_links,privacy_policy_url,pp_label,url_found,TP,TN,FP,FN,
amazon_it,2,https://www.amazon.it/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=200545460,FOUND_PERFECT_FIT,T,1,1,,,
apple_com,183,https://www.apple.com/it/legal/privacy,FOUND,T,1,182,,,
cloudflare_com,198,https://www.cloudflare.com/it-it/privacypolicy,FOUND_PERFECT_FIT,T,1,197,,,
consent_yahoo_com,File not found,https://consent.yahoo.com/redirect?to=https%3A%2F%2Flegal.yahoo.com%2Fie%2Fit%2Fyahoo%2Fprivacy%2Findex.html&brandDomain=&brandId=yahoo&tos=eu&step=&sessionId=2_cc-session_ab642460-d5df-422f-9060-95cc7714ec51&userType=NON_REG,FOUND_PERFECT_FIT,F,1,20,,,inventato 
dev_appsflyer_com,26,https://dev.appsflyer.com/hc/en/cookies,WRONG,F,,25,1,,qui non c’è prprpio il sito reale
digicert_com,135,https://www.digicert.com/it/digicert-privacy-policy,FOUND_PERFECT_FIT,T,1,134,,,
dzen_ru,49,https://dzen.ru/policy,WRONG,F,,48,1,,
facebook_com,33,https://www.facebook.com/privacy/policy/?entry_point=facebook_page_footer,FOUND_PERFECT_FIT,T,1,32,,,
fastly_com,53,https://www.fastly.com/privacy,FOUND_PERFECT_FIT,T,1,53,,,
gandi_net,84,https://www.gandi.net/en/contracts/privacy-policy,FOUND_PERFECT_FIT,T,1,83,,,
github_com,99,https://docs.github.com/site-policy/privacy-policies/github-privacy-statement,FOUND_PERFECT_FIT,T,1,98,,,
google_com,11,https://www.google.com/intl/it/policies/privacy,FOUND_PERFECT_FIT,T,1,10,,,
icloud_com,1,https://www.icloud.com/legal/privacy,WRONG,F,,,1,,
instagram_com,12,https://www.instagram.com/legal/privacy,FOUND_PERFECT_FIT,T,1,11,,,
it_linkedin_com,75,https://it.linkedin.com/legal/privacy-policy?trk=linkedin-tc_auth-button_privacy-policy,FOUND_PERFECT_FIT,T,1,74,,,
it_pinterest_com,30,https://it.pinterest.com/_/_/policy/privacy-policy,FOUND_PERFECT_FIT,T,1,29,,,
it_wikipedia_org,81,https://it.wikipedia.org/wiki/Wikipedia:Condizioni_di_servizio_e_politica_di_privacy,WRONG,F,,80,1,,dominio diverso 
it_wordpress_org,32,https://it.wordpress.org/about/privacy,FOUND_PERFECT_FIT,F,1,32,,,qualcosa di molto strano
mail_ru,60,https://help.mail.ru/legal/terms/common/privacy,FOUND_PERFECT_FIT,F,1,60,,,qualcosa di molto strano
microsoft_com,97,https://www.microsoft.com/it-it/privacy?icid=DSM_Footer_Company_Privacy,FOUND,T,1,96,,,
netflix_com,11,https://help.netflix.com/legal/privacy,FOUND_PERFECT_FIT,T,1,10,,,
ntp_org,8,https://www.ntp.org/privacypolicy,NOT_FOUND,F,,8,,,
open_spotify_com,0,https://open.spotify.com/intl-it/privacypolicy,WRONG,F,,,1,,
roblox_com,13,https://www.roblox.com/info/privacy?locale=it,FOUND_PERFECT_FIT,T,1,13,,,
tiktok_com,5,https://www.tiktok.com/legal/privacy-policy?lang=it-IT,FOUND_PERFECT_FIT,T,1,4,,,
trafficmanager_com,23,https://trafficmanager.com/cookies-settings,WRONG,F,,22,1,,
vimeo_com,23,https://vimeo.com/privacy,FOUND_PERFECT_FIT,T,1,22,,,
whatsapp_com,24,https://www.whatsapp.com/privacy,WRONG,T,,22,1,1,era legal
workers_cloudflare_com,1,https://workers.cloudflare.com/privacypolicy,WRONG,F,,,1,,
x_com,20,https://x.com/privacy,FOUND_PERFECT_FIT,T,1,19,,,
youtube_com,4,https://www.youtube.com/privacypolicy,WRONG,F,,3,1,,
zoom_com,112,https://www.zoom.com/it/privacy,FOUND_PERFECT_FIT,T,1,111,,,
,,,,,22,1499,9,1,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,│ 1 Precisione: 0.71                                                                                                                                                                                                                                                                                                      │,,,,,,,
,,│ 2 Recall: 0.96                                                                                                                                                                                                                                                                                                          │,,,,,,,
,,│ 3 F1-Score: 0.81   ,,,,,,,
